"uid1","uid2"
1,63637
2,31159
3,8085
4,19313
5,65213
6,15082
7,12337
8,52256
9,26845
10,74435
11,53570
12,42087
13,25991
14,45794
15,14193
16,69533
17,46541
18,33586
19,36625
20,21816
21,65768
22,35774
23,57738
24,14174
25,40157
26,36058
27,19578
28,56346
29,45597
30,25995
31,55634
32,12617
33,45007
34,2701
35,24188
36,30374
37,15643
38,69829
39,40687
40,15354
41,68606
42,42714
43,40693
44,70366
45,34020
46,12039
47,54877
48,22536
49,74567
50,19221
51,68741
52,53793
53,14484
54,62421
55,55124
56,43895
57,21188
58,73939
59,15591
60,53439
61,54084
62,63639
63,56327
64,46950
65,56952
66,3240
67,6483
68,58711
69,47026
70,60282
71,17080
72,48552
73,9963
74,32924
75,4613
76,13368
77,37095
78,67707
79,22266
80,62151
81,19651
82,44273
83,465
84,37958
85,1848
86,35092
87,23255
88,13730
89,16860
90,11788
91,13363
92,28934
93,32629
94,56033
95,42647
96,29321
97,45651
98,5098
99,59264
100,16383
101,33735
102,64960
103,60868
104,4408
105,68229
106,61352
107,12950
108,64580
109,41625
110,71057
111,71198
112,25237
113,2955
114,19321
115,3940
116,42854
117,21684
118,50014
119,42193
120,63196
121,10394
122,31959
123,66031
124,26172
125,67488
126,28679
127,47310
128,70192
129,29014
130,247
131,71376
132,69695
133,41455
134,29843
135,27135
136,56961
137,10707
138,24231
139,21969
140,75246
141,36693
142,40343
143,10980
144,39719
145,54502
146,53337
147,64313
148,46714
149,74965
150,58787
151,74102
152,51267
153,30659
154,10392
155,64202
156,49172
157,19020
158,61835
159,12997
160,60128
161,49332
162,48052
163,5255
164,10606
165,19515
166,63675
167,61275
168,74025
169,12359
170,18469
171,49547
172,31635
173,1010
174,11072
175,53746
176,8723
177,19748
178,73962
179,32081
180,11402
181,40490
182,22997
183,60664
184,56503
185,63335
186,39154
187,62928
188,12875
189,32430
190,75391
191,68830
192,47993
193,27943
194,39007
195,57078
196,28022
197,8747
198,66074
199,65506
200,42844
201,7106
202,57358
203,72193
204,38836
205,67538
206,42487
207,39547
208,27399
209,64210
210,8556
211,44376
212,8195
213,44804
214,54542
215,62565
216,10464
217,17886
218,73669
219,69953
220,67539
221,21052
222,44974
223,29130
224,48159
225,26120
226,39993
227,42328
228,34608
229,31912
230,70788
231,38405
232,14760
233,38874
234,3241
235,25922
236,55134
237,57837
238,44297
239,52859
240,44765
241,52384
242,49002
243,31265
244,72461
245,27307
246,30743
247,55039
248,73252
249,9116
250,26812
251,15034
252,10606
253,38205
254,60711
255,66819
256,16207
257,24688
258,8795
259,23375
260,22201
261,3542
262,13716
263,46961
264,4676
265,15597
266,30120
267,40960
268,61453
269,8855
270,1083
271,30200
272,14027
273,41718
274,39249
275,7588
276,17656
277,47719
278,47604
279,41389
280,6492
281,53828
282,3394
283,24512
284,47548
285,34635
286,5483
287,35606
288,6288
289,52146
290,6461
291,21929
292,50700
293,52114
294,1902
295,58666
296,72461
297,69804
298,43599
299,62556
300,21912
301,47378
302,24176
303,36360
304,32163
305,26507
306,72333
307,39407
308,37206
309,17200
310,47034
311,36722
312,32435
313,42688
314,48061
315,26783
316,19401
317,25485
318,53208
319,24058
320,21146
321,61229
322,6135
323,21205
324,20593
325,47755
326,10640
327,48162
328,38603
329,44321
330,71936
331,19562
332,33984
333,61686
334,7043
335,25900
336,526
337,5867
338,332
339,41716
340,16438
341,46955
342,29351
343,60280
344,65521
345,50240
346,68634
347,43786
348,52031
349,43119
350,66681
351,52685
352,47632
353,71847
354,15619
355,20262
356,33697
357,11606
358,61061
359,16182
360,3530
361,22295
362,24069
363,42005
364,50778
365,23972
366,16356
367,16763
368,42263
369,17388
370,2747
371,67871
372,12156
373,31309
374,1573
375,70076
376,57149
377,37543
378,34552
379,65599
380,65003
381,73080
382,26541
383,50520
384,63284
385,66718
386,11568
387,72612
388,65512
389,61854
390,18363
391,38261
392,73727
393,9209
394,16468
395,6002
396,52049
397,14436
398,18107
399,29918
400,26602
401,42512
402,63958
403,48117
404,68998
405,41060
406,55125
407,19510
408,21263
409,48832
410,57881
411,2516
412,46670
413,52128
414,22403
415,19366
416,1708
417,23368
418,15950
419,29204
420,65143
421,48547
422,589
423,2804
424,41052
425,63311
426,36987
427,25923
428,69975
429,55836
430,10677
431,8935
432,48966
433,56161
434,10133
435,9362
436,56299
437,22029
438,26461
439,55661
440,18587
441,72579
442,34494
443,18490
444,53694
445,30323
446,35089
447,74849
448,69796
449,65418
450,63929
451,59812
452,67572
453,72193
454,15561
455,2630
456,25410
457,65124
458,19587
459,49863
460,22259
461,2439
462,71594
463,61648
464,18943
465,49951
466,29947
467,40012
468,72236
469,22618
470,53133
471,30050
472,41743
473,13828
474,28405
475,40251
476,35092
477,57706
478,37611
479,32263
480,209
481,66582
482,2040
483,26577
484,293
485,39047
486,61423
487,58070
488,46244
489,15962
490,73233
491,15312
492,36986
493,69916
494,38213
495,45043
496,50261
497,6476
498,25367
499,59797
500,46545
501,45889
502,72746
503,54656
504,36343
505,56909
506,73584
507,29366
508,58120
509,6513
510,28650
511,48950
512,42958
513,56670
514,45321
515,20821
516,32699
517,75468
518,64372
519,9660
520,23446
521,70534
522,75408
523,47849
524,73488
525,15040
526,54094
527,61116
528,57994
